Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
1.3200e-02,0.005925
1.3232e-02,0.00645
1.3264e-02,0.00623125
1.3296e-02,0.00579688
1.3328e-02,0.00596875
1.3360e-02,0.00592188
1.3392e-02,0.00538125
1.3424e-02,0.005075
1.3456e-02,0.00514063
1.3488e-02,0.00505
1.3520e-02,0.00533125
1.3552e-02,0.00521563
1.3584e-02,0.00507188
1.3616e-02,0.0055
1.3648e-02,0.00560313
1.3680e-02,0.00560938
1.3712e-02,0.005425
1.3744e-02,0.00513438
1.3776e-02,0.00517813
1.3808e-02,0.00512188
1.3840e-02,0.00536563
1.3872e-02,0.005325
1.3904e-02,0.00523125
1.3936e-02,0.00529375
1.3968e-02,0.00538125
1.4000e-02,0.00512813
1.4032e-02,0.00506875
1.4064e-02,0.004675
1.4096e-02,0.00428125
1.4128e-02,0.00508125
1.4160e-02,0.00493125
1.4192e-02,0.0052375
1.4224e-02,0.00527188
1.4256e-02,0.00518125
1.4288e-02,0.00503438
1.4320e-02,0.005
1.4352e-02,0.00477188
1.4384e-02,0.004775
1.4416e-02,0.00535
1.4448e-02,0.0055125
1.4480e-02,0.0056625
1.4512e-02,0.0055
1.4544e-02,0.00519063
1.4576e-02,0.00507188
1.4608e-02,0.00543438
1.4640e-02,0.00522188
1.4672e-02,0.00547188
1.4704e-02,0.00551875
1.4736e-02,0.00495
1.4768e-02,0.00461875
1.4800e-02,0.00455938
1.4832e-02,0.00459063
1.4864e-02,0.004725
1.4896e-02,0.00494688
1.4928e-02,0.00501875
1.4960e-02,0.00519688
1.4992e-02,0.00554688
1.5024e-02,0.00567813
1.5056e-02,0.00550938
1.5088e-02,0.00529688
1.5120e-02,0.00495
1.5152e-02,0.00503438
1.5184e-02,0.00510313
1.5216e-02,0.00535938
1.5248e-02,0.00595938
1.5280e-02,0.00564688
1.5312e-02,0.00523125
1.5344e-02,0.00514375
1.5376e-02,0.005325
1.5408e-02,0.005325
1.5440e-02,0.00520625
1.5472e-02,0.00515313
1.5504e-02,0.00572813
1.5536e-02,0.00606875
1.5568e-02,0.00608125
1.5600e-02,0.00605938
1.5632e-02,0.006
1.5664e-02,0.00619688
1.5696e-02,0.0060375
1.5728e-02,0.00634063
1.5760e-02,0.00674688
1.5792e-02,0.0067125
1.5824e-02,0.00645938
1.5856e-02,0.00623125
1.5888e-02,0.00613438
1.5920e-02,0.0062125
1.5952e-02,0.00621563
1.5984e-02,0.00595938
1.6016e-02,0.00572188
1.6048e-02,0.00583125
1.6080e-02,0.0060375
1.6112e-02,0.00576875
1.6144e-02,0.00573125
1.6176e-02,0.00567188
1.6208e-02,0.00550938
1.6240e-02,0.00529688
1.6272e-02,0.00547188
1.6304e-02,0.00545313
1.6336e-02,0.00508438
1.6368e-02,0.00514063
1.6400e-02,0.0050625
1.6432e-02,0.00497813
1.6464e-02,0.00485
1.6496e-02,0.00496563
1.6528e-02,0.00487813
1.6560e-02,0.00472188
1.6592e-02,0.00440625
1.6624e-02,0.00426563
1.6656e-02,0.00450938
1.6688e-02,0.00464688
1.6720e-02,0.0047375
1.6752e-02,0.00473125
1.6784e-02,0.00448125
1.6816e-02,0.00442813
1.6848e-02,0.0046875
1.6880e-02,0.00485625
1.6912e-02,0.00517813
1.6944e-02,0.00511875
1.6976e-02,0.00500938
1.7008e-02,0.00520625
1.7040e-02,0.00495938
1.7072e-02,0.0048375
1.7104e-02,0.0050375
1.7136e-02,0.0050125
1.7168e-02,0.0047625
1.7200e-02,0.00467813
1.7232e-02,0.00484375
1.7264e-02,0.0049875
1.7296e-02,0.0047875
1.7328e-02,0.00434063
1.7360e-02,0.00437813
1.7392e-02,0.00454688
1.7424e-02,0.00501563
1.7456e-02,0.00543438
1.7488e-02,0.00527813
1.7520e-02,0.00538438
1.7552e-02,0.00518438
1.7584e-02,0.00505625
1.7616e-02,0.00525938
1.7648e-02,0.0053375
1.7680e-02,0.00553125
1.7712e-02,0.00575625
1.7744e-02,0.0054875
1.7776e-02,0.00525625
1.7808e-02,0.00528438
1.7840e-02,0.00566875
1.7872e-02,0.00546563
1.7904e-02,0.005325
1.7936e-02,0.00545625
1.7968e-02,0.00532813
1.8000e-02,0.00557188
1.8032e-02,0.00552813
1.8064e-02,0.00549375
1.8096e-02,0.00533438
1.8128e-02,0.00507813
1.8160e-02,0.00509375
1.8192e-02,0.00504688
1.8224e-02,0.00544063
1.8256e-02,0.00535625
1.8288e-02,0.00525938
1.8320e-02,0.00529063
1.8352e-02,0.00569063
1.8384e-02,0.00577188
1.8416e-02,0.00549688
1.8448e-02,0.00536875
1.8480e-02,0.00494063
1.8512e-02,0.00523125
1.8544e-02,0.00497813
1.8576e-02,0.00499375
1.8608e-02,0.00504375
1.8640e-02,0.0055375
1.8672e-02,0.00548438
1.8704e-02,0.005475
1.8736e-02,0.005325
1.8768e-02,0.00515
1.8800e-02,0.00523438
1.8832e-02,0.00550313
1.8864e-02,0.00526563
1.8896e-02,0.00510625
1.8928e-02,0.00504063
1.8960e-02,0.00528438
1.8992e-02,0.0051375
1.9024e-02,0.00496875
1.9056e-02,0.00504063
1.9088e-02,0.00494375
1.9120e-02,0.00488438
1.9152e-02,0.00490313
1.9184e-02,0.00474688
1.9216e-02,0.00536563
1.9248e-02,0.00564375
1.9280e-02,0.00530625
1.9312e-02,0.00512813
1.9344e-02,0.00525
1.9376e-02,0.00535313
1.9408e-02,0.00560938
1.9440e-02,0.0057625
1.9472e-02,0.00575625
1.9504e-02,0.00581563
1.9536e-02,0.00554688
1.9568e-02,0.00520938
1.9600e-02,0.00534063
1.9632e-02,0.0053125
1.9664e-02,0.005325
1.9696e-02,0.00537188
1.9728e-02,0.00505313
1.9760e-02,0.00567813
1.9792e-02,0.00558125
1.9824e-02,0.00540938
1.9856e-02,0.00544688
1.9888e-02,0.005475
1.9920e-02,0.00553438
1.9952e-02,0.00553125
1.9984e-02,0.00552188
2.0016e-02,0.00548125
2.0048e-02,0.00565938
2.0080e-02,0.00590625
2.0112e-02,0.00579063
2.0144e-02,0.0055625
2.0176e-02,0.00559063
2.0208e-02,0.00593438
2.0240e-02,0.00608438
2.0272e-02,0.00574063
2.0304e-02,0.00576875
2.0336e-02,0.00579375
2.0368e-02,0.00562188
2.0400e-02,0.00554063
2.0432e-02,0.00604375
2.0464e-02,0.00584688
2.0496e-02,0.00621563
2.0528e-02,0.00637813
2.0560e-02,0.00649375
2.0592e-02,0.00654375
2.0624e-02,0.00650938
2.0656e-02,0.00618125
2.0688e-02,0.00626875
2.0720e-02,0.00628438
2.0752e-02,0.00644375
2.0784e-02,0.00645313
2.0816e-02,0.00657813
2.0848e-02,0.00669063
2.0880e-02,0.00655
2.0912e-02,0.00685938
2.0944e-02,0.00663125
2.0976e-02,0.00652188
2.1008e-02,0.00690313
2.1040e-02,0.00655938
2.1072e-02,0.00613438
2.1104e-02,0.00659375
2.1136e-02,0.00722813
2.1168e-02,0.00734688
2.1200e-02,0.007225
2.1232e-02,0.00675
2.1264e-02,0.00640938
2.1296e-02,0.0063375
2.1328e-02,0.00595313
2.1360e-02,0.0062
2.1392e-02,0.00626875
2.1424e-02,0.0064625
2.1456e-02,0.00629688
2.1488e-02,0.00603125
2.1520e-02,0.00615938
2.1552e-02,0.00625
