Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
1.3200e-02,0.04515
1.3232e-02,0.0472219
1.3264e-02,0.0469125
1.3296e-02,0.0475719
1.3328e-02,0.0483156
1.3360e-02,0.0490156
1.3392e-02,0.0501469
1.3424e-02,0.0509656
1.3456e-02,0.052
1.3488e-02,0.0528813
1.3520e-02,0.0535781
1.3552e-02,0.0561531
1.3584e-02,0.057225
1.3616e-02,0.0577156
1.3648e-02,0.0578344
1.3680e-02,0.0580125
1.3712e-02,0.0580719
1.3744e-02,0.0582469
1.3776e-02,0.0586
1.3808e-02,0.0587688
1.3840e-02,0.0590188
1.3872e-02,0.0579938
1.3904e-02,0.0573469
1.3936e-02,0.0546094
1.3968e-02,0.0531563
1.4000e-02,0.0502813
1.4032e-02,0.0479625
1.4064e-02,0.0451094
1.4096e-02,0.0435156
1.4128e-02,0.0420969
1.4160e-02,0.0399031
1.4192e-02,0.0383281
1.4224e-02,0.0364219
1.4256e-02,0.033875
1.4288e-02,0.0317063
1.4320e-02,0.0292219
1.4352e-02,0.0272094
1.4384e-02,0.0250125
1.4416e-02,0.0229719
1.4448e-02,0.0215625
1.4480e-02,0.0201563
1.4512e-02,0.0195094
1.4544e-02,0.0193625
1.4576e-02,0.0185
1.4608e-02,0.0180313
1.4640e-02,0.0167063
1.4672e-02,0.0156063
1.4704e-02,0.0142875
1.4736e-02,0.0132969
1.4768e-02,0.0135438
1.4800e-02,0.0134531
1.4832e-02,0.0133844
1.4864e-02,0.0132156
1.4896e-02,0.0129156
1.4928e-02,0.012575
1.4960e-02,0.0125563
1.4992e-02,0.0117281
1.5024e-02,0.0114063
1.5056e-02,0.0109656
1.5088e-02,0.0118531
1.5120e-02,0.0123969
1.5152e-02,0.0130063
1.5184e-02,0.0132406
1.5216e-02,0.0132
1.5248e-02,0.01335
1.5280e-02,0.0133156
1.5312e-02,0.0136594
1.5344e-02,0.0134094
1.5376e-02,0.0127344
1.5408e-02,0.012975
1.5440e-02,0.0139781
1.5472e-02,0.0142031
1.5504e-02,0.0147031
1.5536e-02,0.0143094
1.5568e-02,0.0145156
1.5600e-02,0.0156688
1.5632e-02,0.016075
1.5664e-02,0.0161375
1.5696e-02,0.0167594
1.5728e-02,0.0167781
1.5760e-02,0.0168094
1.5792e-02,0.0175125
1.5824e-02,0.0175531
1.5856e-02,0.0175531
1.5888e-02,0.0182219
1.5920e-02,0.0183875
1.5952e-02,0.0178219
1.5984e-02,0.0173781
1.6016e-02,0.0177563
1.6048e-02,0.0185563
1.6080e-02,0.0189031
1.6112e-02,0.0192594
1.6144e-02,0.0202719
1.6176e-02,0.0210781
1.6208e-02,0.0214563
1.6240e-02,0.0214125
1.6272e-02,0.0217844
1.6304e-02,0.0212938
1.6336e-02,0.0216063
1.6368e-02,0.0216781
1.6400e-02,0.0212875
1.6432e-02,0.0206844
1.6464e-02,0.0206875
1.6496e-02,0.0212063
1.6528e-02,0.020275
1.6560e-02,0.0202469
1.6592e-02,0.0210375
1.6624e-02,0.020875
1.6656e-02,0.0196469
1.6688e-02,0.0194031
1.6720e-02,0.0185719
1.6752e-02,0.0178719
1.6784e-02,0.0183656
1.6816e-02,0.0178406
1.6848e-02,0.0175156
1.6880e-02,0.0168813
1.6912e-02,0.0161156
1.6944e-02,0.0154688
1.6976e-02,0.0148938
1.7008e-02,0.0141406
1.7040e-02,0.0137063
1.7072e-02,0.0131656
1.7104e-02,0.0131344
1.7136e-02,0.0122063
1.7168e-02,0.0120156
1.7200e-02,0.0112
1.7232e-02,0.0106844
1.7264e-02,0.0104563
1.7296e-02,0.00981875
1.7328e-02,0.00943438
1.7360e-02,0.00920313
1.7392e-02,0.00932813
1.7424e-02,0.00908438
1.7456e-02,0.008925
1.7488e-02,0.00859063
1.7520e-02,0.00859063
1.7552e-02,0.0085625
1.7584e-02,0.00852813
1.7616e-02,0.00827813
1.7648e-02,0.00833438
1.7680e-02,0.00821563
1.7712e-02,0.00843438
1.7744e-02,0.0089125
1.7776e-02,0.00906875
1.7808e-02,0.00905313
1.7840e-02,0.0091875
1.7872e-02,0.00887813
1.7904e-02,0.00895625
1.7936e-02,0.00875625
1.7968e-02,0.00855625
1.8000e-02,0.00889063
1.8032e-02,0.00911875
1.8064e-02,0.00913125
1.8096e-02,0.00919688
1.8128e-02,0.00992813
1.8160e-02,0.0101188
1.8192e-02,0.010325
1.8224e-02,0.0110281
1.8256e-02,0.0114063
1.8288e-02,0.0116188
1.8320e-02,0.011625
1.8352e-02,0.0120563
1.8384e-02,0.0129375
1.8416e-02,0.0131625
1.8448e-02,0.0134719
1.8480e-02,0.0134813
1.8512e-02,0.0136875
1.8544e-02,0.0143938
1.8576e-02,0.0149938
1.8608e-02,0.0154656
1.8640e-02,0.0156719
1.8672e-02,0.015725
1.8704e-02,0.0159469
1.8736e-02,0.0163469
1.8768e-02,0.01735
1.8800e-02,0.0180344
1.8832e-02,0.0192094
1.8864e-02,0.0199281
1.8896e-02,0.0203375
1.8928e-02,0.0211406
1.8960e-02,0.0217125
1.8992e-02,0.0230156
1.9024e-02,0.0232188
1.9056e-02,0.0241281
1.9088e-02,0.0249719
1.9120e-02,0.0255563
1.9152e-02,0.0259969
1.9184e-02,0.0268938
1.9216e-02,0.0268688
1.9248e-02,0.0267438
1.9280e-02,0.0271844
1.9312e-02,0.0271031
1.9344e-02,0.0264406
1.9376e-02,0.0262688
1.9408e-02,0.026225
1.9440e-02,0.0263813
1.9472e-02,0.0256781
1.9504e-02,0.0247844
1.9536e-02,0.0242906
1.9568e-02,0.0235375
1.9600e-02,0.0233219
1.9632e-02,0.023825
1.9664e-02,0.0231969
1.9696e-02,0.0220875
1.9728e-02,0.0214313
1.9760e-02,0.0212469
1.9792e-02,0.0202625
1.9824e-02,0.0198031
1.9856e-02,0.01895
1.9888e-02,0.0184
1.9920e-02,0.0180313
1.9952e-02,0.0178313
1.9984e-02,0.0173125
2.0016e-02,0.0169469
2.0048e-02,0.0162625
2.0080e-02,0.0161438
2.0112e-02,0.0156875
2.0144e-02,0.0150531
2.0176e-02,0.0149938
2.0208e-02,0.0155625
2.0240e-02,0.0156156
2.0272e-02,0.0158656
2.0304e-02,0.0159938
2.0336e-02,0.0167281
2.0368e-02,0.0179
2.0400e-02,0.0180469
2.0432e-02,0.0186031
2.0464e-02,0.0182813
2.0496e-02,0.0174906
2.0528e-02,0.0174531
2.0560e-02,0.0186469
2.0592e-02,0.0190656
2.0624e-02,0.0192594
2.0656e-02,0.019125
2.0688e-02,0.01935
2.0720e-02,0.0195781
2.0752e-02,0.0196438
2.0784e-02,0.0204438
2.0816e-02,0.0219906
2.0848e-02,0.0231844
2.0880e-02,0.0236813
2.0912e-02,0.0240625
2.0944e-02,0.0253781
2.0976e-02,0.0269469
2.1008e-02,0.0281813
2.1040e-02,0.0284281
2.1072e-02,0.0290469
2.1104e-02,0.0289406
2.1136e-02,0.0299844
2.1168e-02,0.03215
2.1200e-02,0.0340563
2.1232e-02,0.0343781
2.1264e-02,0.0355125
2.1296e-02,0.0362563
2.1328e-02,0.0388375
2.1360e-02,0.0398031
2.1392e-02,0.0411594
2.1424e-02,0.043
2.1456e-02,0.0444094
2.1488e-02,0.0468875
2.1520e-02,0.049075
2.1552e-02,0.0500531
