Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
1.3200e-02,0.0593203
1.3232e-02,0.0600313
1.3264e-02,0.0601563
1.3296e-02,0.0611641
1.3328e-02,0.0613047
1.3360e-02,0.0630156
1.3392e-02,0.0642813
1.3424e-02,0.0663906
1.3456e-02,0.0699063
1.3488e-02,0.0716094
1.3520e-02,0.0750469
1.3552e-02,0.0792031
1.3584e-02,0.0827422
1.3616e-02,0.0849531
1.3648e-02,0.0873906
1.3680e-02,0.0875547
1.3712e-02,0.0890547
1.3744e-02,0.0914844
1.3776e-02,0.0942891
1.3808e-02,0.0970391
1.3840e-02,0.0983438
1.3872e-02,0.100195
1.3904e-02,0.103266
1.3936e-02,0.106555
1.3968e-02,0.108516
1.4000e-02,0.111281
1.4032e-02,0.114859
1.4064e-02,0.117742
1.4096e-02,0.121406
1.4128e-02,0.123219
1.4160e-02,0.126672
1.4192e-02,0.130984
1.4224e-02,0.133109
1.4256e-02,0.135148
1.4288e-02,0.137461
1.4320e-02,0.140008
1.4352e-02,0.14268
1.4384e-02,0.144727
1.4416e-02,0.147711
1.4448e-02,0.149711
1.4480e-02,0.150063
1.4512e-02,0.1495
1.4544e-02,0.148852
1.4576e-02,0.146398
1.4608e-02,0.145617
1.4640e-02,0.144594
1.4672e-02,0.140109
1.4704e-02,0.138305
1.4736e-02,0.133766
1.4768e-02,0.128438
1.4800e-02,0.122984
1.4832e-02,0.117336
1.4864e-02,0.11232
1.4896e-02,0.104781
1.4928e-02,0.0993125
1.4960e-02,0.0937422
1.4992e-02,0.0860234
1.5024e-02,0.0790938
1.5056e-02,0.0736328
1.5088e-02,0.0691797
1.5120e-02,0.0652813
1.5152e-02,0.0622031
1.5184e-02,0.0575547
1.5216e-02,0.0527813
1.5248e-02,0.0498359
1.5280e-02,0.0469922
1.5312e-02,0.0444297
1.5344e-02,0.0427422
1.5376e-02,0.0408516
1.5408e-02,0.0393984
1.5440e-02,0.0376328
1.5472e-02,0.0362422
1.5504e-02,0.0352578
1.5536e-02,0.0352813
1.5568e-02,0.0348984
1.5600e-02,0.0344453
1.5632e-02,0.0336406
1.5664e-02,0.0316953
1.5696e-02,0.0311719
1.5728e-02,0.0314766
1.5760e-02,0.0316016
1.5792e-02,0.0321875
1.5824e-02,0.0326094
1.5856e-02,0.0324453
1.5888e-02,0.0322188
1.5920e-02,0.0323203
1.5952e-02,0.0312813
1.5984e-02,0.0314453
1.6016e-02,0.0318203
1.6048e-02,0.0334141
1.6080e-02,0.0342813
1.6112e-02,0.0348906
1.6144e-02,0.0357266
1.6176e-02,0.0361953
1.6208e-02,0.0374609
1.6240e-02,0.0378594
1.6272e-02,0.0385625
1.6304e-02,0.0392734
1.6336e-02,0.0386484
1.6368e-02,0.0392031
1.6400e-02,0.0406953
1.6432e-02,0.0408672
1.6464e-02,0.0404766
1.6496e-02,0.0405469
1.6528e-02,0.0408984
1.6560e-02,0.0417734
1.6592e-02,0.0435859
1.6624e-02,0.0425859
1.6656e-02,0.0434766
1.6688e-02,0.0441328
1.6720e-02,0.0435938
1.6752e-02,0.0444766
1.6784e-02,0.0457031
1.6816e-02,0.0475156
1.6848e-02,0.0494141
1.6880e-02,0.0505469
1.6912e-02,0.0493281
1.6944e-02,0.0505781
1.6976e-02,0.0523125
1.7008e-02,0.0532969
1.7040e-02,0.0531484
1.7072e-02,0.0529453
1.7104e-02,0.0529766
1.7136e-02,0.0527266
1.7168e-02,0.0542578
1.7200e-02,0.0548203
1.7232e-02,0.0544219
1.7264e-02,0.0552656
1.7296e-02,0.0545313
1.7328e-02,0.0550234
1.7360e-02,0.0536953
1.7392e-02,0.0522813
1.7424e-02,0.0516172
1.7456e-02,0.0505391
1.7488e-02,0.0492891
1.7520e-02,0.0475156
1.7552e-02,0.0461484
1.7584e-02,0.0448359
1.7616e-02,0.0429922
1.7648e-02,0.0415625
1.7680e-02,0.0395859
1.7712e-02,0.0372344
1.7744e-02,0.0354609
1.7776e-02,0.0334297
1.7808e-02,0.0318203
1.7840e-02,0.0305313
1.7872e-02,0.0291641
1.7904e-02,0.0272813
1.7936e-02,0.0253906
1.7968e-02,0.0244297
1.8000e-02,0.0234219
1.8032e-02,0.0225078
1.8064e-02,0.022125
1.8096e-02,0.02175
1.8128e-02,0.0212109
1.8160e-02,0.0206484
1.8192e-02,0.0204375
1.8224e-02,0.0208516
1.8256e-02,0.0215547
1.8288e-02,0.0212109
1.8320e-02,0.0209766
1.8352e-02,0.0207266
1.8384e-02,0.0207969
1.8416e-02,0.0207969
1.8448e-02,0.0208984
1.8480e-02,0.0217188
1.8512e-02,0.0225703
1.8544e-02,0.0234375
1.8576e-02,0.0240859
1.8608e-02,0.024
1.8640e-02,0.0247734
1.8672e-02,0.0244141
1.8704e-02,0.0248359
1.8736e-02,0.0251016
1.8768e-02,0.0253828
1.8800e-02,0.0258984
1.8832e-02,0.0273438
1.8864e-02,0.0281406
1.8896e-02,0.0292891
1.8928e-02,0.0291484
1.8960e-02,0.0303516
1.8992e-02,0.0308594
1.9024e-02,0.0318125
1.9056e-02,0.0324766
1.9088e-02,0.033375
1.9120e-02,0.0344922
1.9152e-02,0.0362188
1.9184e-02,0.0374766
1.9216e-02,0.0391172
1.9248e-02,0.0395313
1.9280e-02,0.0404219
1.9312e-02,0.0426563
1.9344e-02,0.0441172
1.9376e-02,0.0442188
1.9408e-02,0.0461172
1.9440e-02,0.0491406
1.9472e-02,0.0518672
1.9504e-02,0.0537031
1.9536e-02,0.0542656
1.9568e-02,0.0555938
1.9600e-02,0.0565234
1.9632e-02,0.0581563
1.9664e-02,0.0601797
1.9696e-02,0.0616172
1.9728e-02,0.0628203
1.9760e-02,0.0642109
1.9792e-02,0.0647734
1.9824e-02,0.0655469
1.9856e-02,0.0647422
1.9888e-02,0.0655234
1.9920e-02,0.0666719
1.9952e-02,0.0672734
1.9984e-02,0.0685
2.0016e-02,0.0676641
2.0048e-02,0.068125
2.0080e-02,0.0680625
2.0112e-02,0.0666016
2.0144e-02,0.0635859
2.0176e-02,0.0618438
2.0208e-02,0.0598125
2.0240e-02,0.0574531
2.0272e-02,0.0553906
2.0304e-02,0.0537031
2.0336e-02,0.0533984
2.0368e-02,0.0535
2.0400e-02,0.0526641
2.0432e-02,0.0509922
2.0464e-02,0.0491953
2.0496e-02,0.0463047
2.0528e-02,0.0452344
2.0560e-02,0.0443438
2.0592e-02,0.0437734
2.0624e-02,0.0416484
2.0656e-02,0.0405234
2.0688e-02,0.0395313
2.0720e-02,0.0394922
2.0752e-02,0.0386016
2.0784e-02,0.0389766
2.0816e-02,0.0395
2.0848e-02,0.0401172
2.0880e-02,0.0397188
2.0912e-02,0.0398516
2.0944e-02,0.0399063
2.0976e-02,0.0409688
2.1008e-02,0.0430703
2.1040e-02,0.0442109
2.1072e-02,0.0452266
2.1104e-02,0.0466875
2.1136e-02,0.0475234
2.1168e-02,0.0481719
2.1200e-02,0.0489453
2.1232e-02,0.0507813
2.1264e-02,0.0516953
2.1296e-02,0.0518906
2.1328e-02,0.0525469
2.1360e-02,0.0540469
2.1392e-02,0.0563594
2.1424e-02,0.0573359
2.1456e-02,0.0592578
2.1488e-02,0.0606641
2.1520e-02,0.0635469
2.1552e-02,0.0665547
