Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH1
1.3200e-02,0.0224375
1.3232e-02,0.02325
1.3264e-02,0.0239375
1.3296e-02,0.0236563
1.3328e-02,0.0242813
1.3360e-02,0.025
1.3392e-02,0.0260313
1.3424e-02,0.0266875
1.3456e-02,0.0269688
1.3488e-02,0.0278125
1.3520e-02,0.0289688
1.3552e-02,0.0294063
1.3584e-02,0.0301875
1.3616e-02,0.0305
1.3648e-02,0.0306875
1.3680e-02,0.0323438
1.3712e-02,0.0343125
1.3744e-02,0.0345938
1.3776e-02,0.0355938
1.3808e-02,0.0367188
1.3840e-02,0.0370313
1.3872e-02,0.0381875
1.3904e-02,0.0390938
1.3936e-02,0.0393438
1.3968e-02,0.0404375
1.4000e-02,0.0415625
1.4032e-02,0.041875
1.4064e-02,0.0419063
1.4096e-02,0.0433125
1.4128e-02,0.0455938
1.4160e-02,0.0440938
1.4192e-02,0.0439375
1.4224e-02,0.0438438
1.4256e-02,0.045375
1.4288e-02,0.0460625
1.4320e-02,0.0461875
1.4352e-02,0.0477188
1.4384e-02,0.0471875
1.4416e-02,0.0476563
1.4448e-02,0.046
1.4480e-02,0.0445313
1.4512e-02,0.0441875
1.4544e-02,0.0433438
1.4576e-02,0.0416563
1.4608e-02,0.040125
1.4640e-02,0.0407188
1.4672e-02,0.039625
1.4704e-02,0.038625
1.4736e-02,0.0370313
1.4768e-02,0.03575
1.4800e-02,0.0341875
1.4832e-02,0.0333125
1.4864e-02,0.0310313
1.4896e-02,0.0304688
1.4928e-02,0.0285938
1.4960e-02,0.0265
1.4992e-02,0.0245938
1.5024e-02,0.0225625
1.5056e-02,0.0216563
1.5088e-02,0.0216875
1.5120e-02,0.0210625
1.5152e-02,0.019375
1.5184e-02,0.0185
1.5216e-02,0.018375
1.5248e-02,0.0183125
1.5280e-02,0.017625
1.5312e-02,0.0178125
1.5344e-02,0.0178438
1.5376e-02,0.0169375
1.5408e-02,0.0163438
1.5440e-02,0.016375
1.5472e-02,0.0160938
1.5504e-02,0.0150625
1.5536e-02,0.0145313
1.5568e-02,0.0145313
1.5600e-02,0.01425
1.5632e-02,0.01475
1.5664e-02,0.0144375
1.5696e-02,0.0144688
1.5728e-02,0.0139688
1.5760e-02,0.0139375
1.5792e-02,0.0140313
1.5824e-02,0.0139375
1.5856e-02,0.0143438
1.5888e-02,0.0141563
1.5920e-02,0.0141875
1.5952e-02,0.0136875
1.5984e-02,0.0132813
1.6016e-02,0.0137188
1.6048e-02,0.0134688
1.6080e-02,0.0139375
1.6112e-02,0.0140313
1.6144e-02,0.0140938
1.6176e-02,0.0142813
1.6208e-02,0.013875
1.6240e-02,0.0139375
1.6272e-02,0.0139688
1.6304e-02,0.0137813
1.6336e-02,0.0138125
1.6368e-02,0.0140625
1.6400e-02,0.014125
1.6432e-02,0.0140313
1.6464e-02,0.0135
1.6496e-02,0.013125
1.6528e-02,0.0135938
1.6560e-02,0.0139375
1.6592e-02,0.0141563
1.6624e-02,0.0141563
1.6656e-02,0.0142813
1.6688e-02,0.014125
1.6720e-02,0.0135
1.6752e-02,0.0130313
1.6784e-02,0.0126875
1.6816e-02,0.014
1.6848e-02,0.0139375
1.6880e-02,0.0139688
1.6912e-02,0.0138125
1.6944e-02,0.0132813
1.6976e-02,0.0127188
1.7008e-02,0.0141563
1.7040e-02,0.0141563
1.7072e-02,0.01425
1.7104e-02,0.0143438
1.7136e-02,0.0142813
1.7168e-02,0.0142813
1.7200e-02,0.0143125
1.7232e-02,0.0139375
1.7264e-02,0.0135625
1.7296e-02,0.0139063
1.7328e-02,0.0139375
1.7360e-02,0.01425
1.7392e-02,0.0133438
1.7424e-02,0.0135938
1.7456e-02,0.0138125
1.7488e-02,0.0141563
1.7520e-02,0.014125
1.7552e-02,0.013625
1.7584e-02,0.0135
1.7616e-02,0.0134063
1.7648e-02,0.013125
1.7680e-02,0.013375
1.7712e-02,0.0140938
1.7744e-02,0.0141563
1.7776e-02,0.0141875
1.7808e-02,0.0142188
1.7840e-02,0.0141563
1.7872e-02,0.0140938
1.7904e-02,0.0140938
1.7936e-02,0.0143438
1.7968e-02,0.0143125
1.8000e-02,0.014125
1.8032e-02,0.0142813
1.8064e-02,0.0142813
1.8096e-02,0.0144063
1.8128e-02,0.0147188
1.8160e-02,0.0142813
1.8192e-02,0.0143125
1.8224e-02,0.013875
1.8256e-02,0.013625
1.8288e-02,0.0141563
1.8320e-02,0.0140938
1.8352e-02,0.0140313
1.8384e-02,0.0140938
1.8416e-02,0.0141875
1.8448e-02,0.0140625
1.8480e-02,0.0140625
1.8512e-02,0.0140625
1.8544e-02,0.0142813
1.8576e-02,0.01425
1.8608e-02,0.0139063
1.8640e-02,0.0132188
1.8672e-02,0.0124063
1.8704e-02,0.0126563
1.8736e-02,0.0130938
1.8768e-02,0.014375
1.8800e-02,0.0144063
1.8832e-02,0.0140625
1.8864e-02,0.0142188
1.8896e-02,0.0139375
1.8928e-02,0.014
1.8960e-02,0.0140625
1.8992e-02,0.0143125
1.9024e-02,0.0140625
1.9056e-02,0.0140625
1.9088e-02,0.0135625
1.9120e-02,0.0134688
1.9152e-02,0.0126875
1.9184e-02,0.0129688
1.9216e-02,0.0136875
1.9248e-02,0.0125625
1.9280e-02,0.012625
1.9312e-02,0.0135625
1.9344e-02,0.0129063
1.9376e-02,0.01325
1.9408e-02,0.0132813
1.9440e-02,0.013375
1.9472e-02,0.013875
1.9504e-02,0.0131875
1.9536e-02,0.0133125
1.9568e-02,0.01325
1.9600e-02,0.0140625
1.9632e-02,0.0140938
1.9664e-02,0.0139688
1.9696e-02,0.0137813
1.9728e-02,0.0137813
1.9760e-02,0.0136563
1.9792e-02,0.0143438
1.9824e-02,0.014875
1.9856e-02,0.0135625
1.9888e-02,0.014
1.9920e-02,0.013875
1.9952e-02,0.0140938
1.9984e-02,0.0137188
2.0016e-02,0.0136875
2.0048e-02,0.0128438
2.0080e-02,0.012625
2.0112e-02,0.0129063
2.0144e-02,0.0135
2.0176e-02,0.01275
2.0208e-02,0.0137188
2.0240e-02,0.0136875
2.0272e-02,0.0139375
2.0304e-02,0.0136563
2.0336e-02,0.014125
2.0368e-02,0.014125
2.0400e-02,0.0140938
2.0432e-02,0.0146875
2.0464e-02,0.014
2.0496e-02,0.0144375
2.0528e-02,0.0138438
2.0560e-02,0.014125
2.0592e-02,0.0140625
2.0624e-02,0.0134375
2.0656e-02,0.0128125
2.0688e-02,0.0126563
2.0720e-02,0.0130313
2.0752e-02,0.0133438
2.0784e-02,0.0138438
2.0816e-02,0.0135625
2.0848e-02,0.0140313
2.0880e-02,0.014
2.0912e-02,0.0141875
2.0944e-02,0.013875
2.0976e-02,0.0140313
2.1008e-02,0.0136875
2.1040e-02,0.0129688
2.1072e-02,0.0131875
2.1104e-02,0.0137188
2.1136e-02,0.0140938
2.1168e-02,0.0139688
2.1200e-02,0.0140313
2.1232e-02,0.0140313
2.1264e-02,0.013875
2.1296e-02,0.0142188
2.1328e-02,0.014375
2.1360e-02,0.0142188
2.1392e-02,0.0140938
2.1424e-02,0.0141875
2.1456e-02,0.0139375
2.1488e-02,0.0135
2.1520e-02,0.0140938
2.1552e-02,0.0139688
2.1584e-02,0.0137188
2.1616e-02,0.0134063
