Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
1.3200e-02,0.0390703
1.3232e-02,0.03775
1.3264e-02,0.0385703
1.3296e-02,0.0398828
1.3328e-02,0.04075
1.3360e-02,0.0396016
1.3392e-02,0.0396797
1.3424e-02,0.0393672
1.3456e-02,0.0396953
1.3488e-02,0.0423281
1.3520e-02,0.0417031
1.3552e-02,0.0419062
1.3584e-02,0.0407344
1.3616e-02,0.0406797
1.3648e-02,0.0415703
1.3680e-02,0.0417969
1.3712e-02,0.0404297
1.3744e-02,0.0421094
1.3776e-02,0.0422422
1.3808e-02,0.0421094
1.3840e-02,0.0409297
1.3872e-02,0.0398359
1.3904e-02,0.0390234
1.3936e-02,0.0438203
1.3968e-02,0.0466328
1.4000e-02,0.045375
1.4032e-02,0.0443203
1.4064e-02,0.0428437
1.4096e-02,0.0420625
1.4128e-02,0.0445703
1.4160e-02,0.0441172
1.4192e-02,0.0419531
1.4224e-02,0.0415781
1.4256e-02,0.0416875
1.4288e-02,0.04425
1.4320e-02,0.0448672
1.4352e-02,0.04625
1.4384e-02,0.0476875
1.4416e-02,0.0479297
1.4448e-02,0.0462578
1.4480e-02,0.0467891
1.4512e-02,0.0470781
1.4544e-02,0.0467578
1.4576e-02,0.0458516
1.4608e-02,0.0446172
1.4640e-02,0.0439531
1.4672e-02,0.0455312
1.4704e-02,0.0460781
1.4736e-02,0.0462422
1.4768e-02,0.0478906
1.4800e-02,0.0494297
1.4832e-02,0.0477422
1.4864e-02,0.0476406
1.4896e-02,0.0461328
1.4928e-02,0.0452266
1.4960e-02,0.0439609
1.4992e-02,0.0431016
1.5024e-02,0.04225
1.5056e-02,0.0411328
1.5088e-02,0.0414375
1.5120e-02,0.0427969
1.5152e-02,0.0446953
1.5184e-02,0.0451719
1.5216e-02,0.0445312
1.5248e-02,0.0427734
1.5280e-02,0.0426953
1.5312e-02,0.0413594
1.5344e-02,0.0408906
1.5376e-02,0.0410625
1.5408e-02,0.0423359
1.5440e-02,0.0410859
1.5472e-02,0.0422891
1.5504e-02,0.0416484
1.5536e-02,0.0420937
1.5568e-02,0.0434844
1.5600e-02,0.0438516
1.5632e-02,0.0430547
1.5664e-02,0.0416875
1.5696e-02,0.0408047
1.5728e-02,0.0403516
1.5760e-02,0.0404687
1.5792e-02,0.0399297
1.5824e-02,0.0404922
1.5856e-02,0.0405625
1.5888e-02,0.0407969
1.5920e-02,0.0431406
1.5952e-02,0.0437422
1.5984e-02,0.0426328
1.6016e-02,0.0427891
1.6048e-02,0.0440859
1.6080e-02,0.0423672
1.6112e-02,0.0410625
1.6144e-02,0.0407812
1.6176e-02,0.0403281
1.6208e-02,0.0399766
1.6240e-02,0.0412578
1.6272e-02,0.0412656
1.6304e-02,0.0419375
1.6336e-02,0.0432578
1.6368e-02,0.0440625
1.6400e-02,0.0434609
1.6432e-02,0.04325
1.6464e-02,0.0420391
1.6496e-02,0.0432891
1.6528e-02,0.0439922
1.6560e-02,0.0453672
1.6592e-02,0.0464531
1.6624e-02,0.04825
1.6656e-02,0.0517031
1.6688e-02,0.0519141
1.6720e-02,0.0537734
1.6752e-02,0.0537812
1.6784e-02,0.0527656
1.6816e-02,0.0524531
1.6848e-02,0.0545156
1.6880e-02,0.0569766
1.6912e-02,0.0580937
1.6944e-02,0.0567891
1.6976e-02,0.0561094
1.7008e-02,0.0589766
1.7040e-02,0.0609375
1.7072e-02,0.0603672
1.7104e-02,0.0601172
1.7136e-02,0.0630781
1.7168e-02,0.0659297
1.7200e-02,0.0685156
1.7232e-02,0.0715547
1.7264e-02,0.0724766
1.7296e-02,0.0705234
1.7328e-02,0.0690391
1.7360e-02,0.0680859
1.7392e-02,0.0657031
1.7424e-02,0.0656172
1.7456e-02,0.0664687
1.7488e-02,0.0691953
1.7520e-02,0.0706953
1.7552e-02,0.0705859
1.7584e-02,0.072875
1.7616e-02,0.0759609
1.7648e-02,0.0812109
1.7680e-02,0.0856875
1.7712e-02,0.0863359
1.7744e-02,0.0888359
1.7776e-02,0.0911016
1.7808e-02,0.0940234
1.7840e-02,0.0978281
1.7872e-02,0.0987891
1.7904e-02,0.0991094
1.7936e-02,0.103094
1.7968e-02,0.106781
1.8000e-02,0.106695
1.8032e-02,0.10818
1.8064e-02,0.111727
1.8096e-02,0.11843
1.8128e-02,0.118812
1.8160e-02,0.121977
1.8192e-02,0.127953
1.8224e-02,0.126289
1.8256e-02,0.120734
1.8288e-02,0.119602
1.8320e-02,0.115562
1.8352e-02,0.116687
1.8384e-02,0.114375
1.8416e-02,0.110602
1.8448e-02,0.10893
1.8480e-02,0.107125
1.8512e-02,0.104062
1.8544e-02,0.104523
1.8576e-02,0.102836
1.8608e-02,0.100055
1.8640e-02,0.0939687
1.8672e-02,0.0908437
1.8704e-02,0.0881875
1.8736e-02,0.0842266
1.8768e-02,0.0804375
1.8800e-02,0.0763828
1.8832e-02,0.0746406
1.8864e-02,0.0704531
1.8896e-02,0.0683594
1.8928e-02,0.0637578
1.8960e-02,0.0629375
1.8992e-02,0.0616172
1.9024e-02,0.0588984
1.9056e-02,0.0582187
1.9088e-02,0.0570156
1.9120e-02,0.0570469
1.9152e-02,0.0551016
1.9184e-02,0.0521094
1.9216e-02,0.0500469
1.9248e-02,0.049375
1.9280e-02,0.0478359
1.9312e-02,0.0461875
1.9344e-02,0.0466797
1.9376e-02,0.0453672
1.9408e-02,0.04375
1.9440e-02,0.0439687
1.9472e-02,0.0449609
1.9504e-02,0.0443281
1.9536e-02,0.0435625
1.9568e-02,0.0429766
1.9600e-02,0.0430078
1.9632e-02,0.0424844
1.9664e-02,0.0432031
1.9696e-02,0.0428828
1.9728e-02,0.0438594
1.9760e-02,0.0467344
1.9792e-02,0.0460156
1.9824e-02,0.04675
1.9856e-02,0.0471094
1.9888e-02,0.0452187
1.9920e-02,0.0433906
1.9952e-02,0.04325
1.9984e-02,0.0444375
2.0016e-02,0.0470078
2.0048e-02,0.0473125
2.0080e-02,0.0462969
2.0112e-02,0.0452734
2.0144e-02,0.0451484
2.0176e-02,0.0476875
2.0208e-02,0.0486094
2.0240e-02,0.0490234
2.0272e-02,0.0491875
2.0304e-02,0.0507969
2.0336e-02,0.0510156
2.0368e-02,0.0505078
2.0400e-02,0.0499531
2.0432e-02,0.0501562
2.0464e-02,0.0504687
2.0496e-02,0.0525469
2.0528e-02,0.0542109
2.0560e-02,0.0565703
2.0592e-02,0.0578594
2.0624e-02,0.0588516
2.0656e-02,0.0586484
2.0688e-02,0.0597344
2.0720e-02,0.0614297
2.0752e-02,0.0644141
2.0784e-02,0.0700781
2.0816e-02,0.0736094
2.0848e-02,0.0745937
2.0880e-02,0.0746406
2.0912e-02,0.0746406
2.0944e-02,0.0781484
2.0976e-02,0.0801797
2.1008e-02,0.0822656
2.1040e-02,0.0896562
2.1072e-02,0.0939531
2.1104e-02,0.0968672
2.1136e-02,0.10025
2.1168e-02,0.102195
2.1200e-02,0.104484
2.1232e-02,0.105898
2.1264e-02,0.110922
2.1296e-02,0.118008
2.1328e-02,0.12325
2.1360e-02,0.124836
2.1392e-02,0.126906
2.1424e-02,0.129984
2.1456e-02,0.133383
2.1488e-02,0.141812
2.1520e-02,0.145953
2.1552e-02,0.14718
2.1584e-02,0.149773
