Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
1.3200e-02,0.0282
1.3232e-02,0.0281656
1.3264e-02,0.0285781
1.3296e-02,0.0278062
1.3328e-02,0.02765
1.3360e-02,0.0275406
1.3392e-02,0.0278781
1.3424e-02,0.0281687
1.3456e-02,0.0283344
1.3488e-02,0.0299844
1.3520e-02,0.0297687
1.3552e-02,0.0290219
1.3584e-02,0.0282219
1.3616e-02,0.0286406
1.3648e-02,0.0282812
1.3680e-02,0.0286937
1.3712e-02,0.0288031
1.3744e-02,0.0289062
1.3776e-02,0.0290094
1.3808e-02,0.0291594
1.3840e-02,0.0293531
1.3872e-02,0.029525
1.3904e-02,0.0307469
1.3936e-02,0.0299594
1.3968e-02,0.0292781
1.4000e-02,0.0287844
1.4032e-02,0.028225
1.4064e-02,0.0279344
1.4096e-02,0.0280625
1.4128e-02,0.0279625
1.4160e-02,0.0280437
1.4192e-02,0.0289844
1.4224e-02,0.0295719
1.4256e-02,0.0295375
1.4288e-02,0.0303594
1.4320e-02,0.0308031
1.4352e-02,0.0312594
1.4384e-02,0.0311375
1.4416e-02,0.0300875
1.4448e-02,0.029875
1.4480e-02,0.0291812
1.4512e-02,0.0295344
1.4544e-02,0.0301812
1.4576e-02,0.0315125
1.4608e-02,0.0308781
1.4640e-02,0.0308625
1.4672e-02,0.0322
1.4704e-02,0.0318562
1.4736e-02,0.0316687
1.4768e-02,0.0310687
1.4800e-02,0.0307656
1.4832e-02,0.0306344
1.4864e-02,0.030375
1.4896e-02,0.0296187
1.4928e-02,0.029275
1.4960e-02,0.0294094
1.4992e-02,0.0308812
1.5024e-02,0.0303375
1.5056e-02,0.0296031
1.5088e-02,0.0291781
1.5120e-02,0.0303
1.5152e-02,0.0304281
1.5184e-02,0.0306562
1.5216e-02,0.0304344
1.5248e-02,0.0294375
1.5280e-02,0.0294969
1.5312e-02,0.0298219
1.5344e-02,0.0295969
1.5376e-02,0.0297437
1.5408e-02,0.0292094
1.5440e-02,0.0290406
1.5472e-02,0.0299031
1.5504e-02,0.0302906
1.5536e-02,0.0312281
1.5568e-02,0.0307844
1.5600e-02,0.0311937
1.5632e-02,0.0302187
1.5664e-02,0.029675
1.5696e-02,0.0298531
1.5728e-02,0.0293219
1.5760e-02,0.0290375
1.5792e-02,0.029225
1.5824e-02,0.02915
1.5856e-02,0.0291375
1.5888e-02,0.0290094
1.5920e-02,0.0295437
1.5952e-02,0.0295625
1.5984e-02,0.0297406
1.6016e-02,0.0298812
1.6048e-02,0.0297781
1.6080e-02,0.0314781
1.6112e-02,0.0316281
1.6144e-02,0.0307875
1.6176e-02,0.0299656
1.6208e-02,0.0307219
1.6240e-02,0.0306719
1.6272e-02,0.03055
1.6304e-02,0.0301219
1.6336e-02,0.0302344
1.6368e-02,0.030375
1.6400e-02,0.0304344
1.6432e-02,0.0301375
1.6464e-02,0.0309062
1.6496e-02,0.0308781
1.6528e-02,0.0301219
1.6560e-02,0.0304156
1.6592e-02,0.0297187
1.6624e-02,0.0293531
1.6656e-02,0.03125
1.6688e-02,0.0326656
1.6720e-02,0.0333219
1.6752e-02,0.0336187
1.6784e-02,0.0331156
1.6816e-02,0.0336344
1.6848e-02,0.0332875
1.6880e-02,0.0320687
1.6912e-02,0.0315656
1.6944e-02,0.0308562
1.6976e-02,0.0319187
1.7008e-02,0.0338906
1.7040e-02,0.0353531
1.7072e-02,0.0355844
1.7104e-02,0.0378312
1.7136e-02,0.0376844
1.7168e-02,0.0368719
1.7200e-02,0.0376781
1.7232e-02,0.0386625
1.7264e-02,0.0385125
1.7296e-02,0.039575
1.7328e-02,0.0408062
1.7360e-02,0.0428812
1.7392e-02,0.0440906
1.7424e-02,0.0460625
1.7456e-02,0.0470562
1.7488e-02,0.0465469
1.7520e-02,0.0482281
1.7552e-02,0.0519375
1.7584e-02,0.0524687
1.7616e-02,0.0540594
1.7648e-02,0.055625
1.7680e-02,0.0563781
1.7712e-02,0.0591844
1.7744e-02,0.0629
1.7776e-02,0.0665156
1.7808e-02,0.0691969
1.7840e-02,0.0694906
1.7872e-02,0.0719906
1.7904e-02,0.0745375
1.7936e-02,0.0761
1.7968e-02,0.0769719
1.8000e-02,0.0784281
1.8032e-02,0.0809937
1.8064e-02,0.0828687
1.8096e-02,0.0860156
1.8128e-02,0.0888
1.8160e-02,0.0888812
1.8192e-02,0.0871344
1.8224e-02,0.0867437
1.8256e-02,0.0901625
1.8288e-02,0.0939062
1.8320e-02,0.0949719
1.8352e-02,0.0967375
1.8384e-02,0.0967937
1.8416e-02,0.0981437
1.8448e-02,0.0984594
1.8480e-02,0.0992969
1.8512e-02,0.0992937
1.8544e-02,0.0971187
1.8576e-02,0.0953469
1.8608e-02,0.0946844
1.8640e-02,0.0951406
1.8672e-02,0.0966406
1.8704e-02,0.0977906
1.8736e-02,0.0974344
1.8768e-02,0.0968812
1.8800e-02,0.0943906
1.8832e-02,0.0937156
1.8864e-02,0.0915625
1.8896e-02,0.089525
1.8928e-02,0.0870219
1.8960e-02,0.0854219
1.8992e-02,0.0834625
1.9024e-02,0.0827625
1.9056e-02,0.0803406
1.9088e-02,0.0753781
1.9120e-02,0.0727125
1.9152e-02,0.0719312
1.9184e-02,0.0725812
1.9216e-02,0.0722781
1.9248e-02,0.0708156
1.9280e-02,0.06685
1.9312e-02,0.0644437
1.9344e-02,0.0621812
1.9376e-02,0.06
1.9408e-02,0.0591625
1.9440e-02,0.0585156
1.9472e-02,0.0577125
1.9504e-02,0.0557469
1.9536e-02,0.0521469
1.9568e-02,0.0488
1.9600e-02,0.046575
1.9632e-02,0.0462656
1.9664e-02,0.0452969
1.9696e-02,0.0441719
1.9728e-02,0.0434687
1.9760e-02,0.0421687
1.9792e-02,0.04085
1.9824e-02,0.040375
1.9856e-02,0.0406031
1.9888e-02,0.0397406
1.9920e-02,0.0380437
1.9952e-02,0.0368719
1.9984e-02,0.0368469
2.0016e-02,0.0360031
2.0048e-02,0.0340437
2.0080e-02,0.0335656
2.0112e-02,0.0334031
2.0144e-02,0.0331094
2.0176e-02,0.0328344
2.0208e-02,0.0330906
2.0240e-02,0.0340375
2.0272e-02,0.0327281
2.0304e-02,0.0322344
2.0336e-02,0.0324719
2.0368e-02,0.031975
2.0400e-02,0.0306
2.0432e-02,0.0304125
2.0464e-02,0.0300875
2.0496e-02,0.0306687
2.0528e-02,0.0304937
2.0560e-02,0.03075
2.0592e-02,0.0306969
2.0624e-02,0.0300937
2.0656e-02,0.0303281
2.0688e-02,0.029975
2.0720e-02,0.0296969
2.0752e-02,0.0296094
2.0784e-02,0.0309156
2.0816e-02,0.0309437
2.0848e-02,0.0309156
2.0880e-02,0.0305031
2.0912e-02,0.0303656
2.0944e-02,0.0309656
2.0976e-02,0.0311781
2.1008e-02,0.0303906
2.1040e-02,0.0301594
2.1072e-02,0.030225
2.1104e-02,0.03065
2.1136e-02,0.0315719
2.1168e-02,0.0307531
2.1200e-02,0.0301656
2.1232e-02,0.0298594
2.1264e-02,0.0305219
2.1296e-02,0.031025
2.1328e-02,0.0308219
2.1360e-02,0.030825
2.1392e-02,0.0302656
2.1424e-02,0.0297375
2.1456e-02,0.0297875
2.1488e-02,0.0289969
2.1520e-02,0.0294375
2.1552e-02,0.0293312
