Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
1.3200e-02,0.0327031
1.3232e-02,0.0329781
1.3264e-02,0.0335062
1.3296e-02,0.0341562
1.3328e-02,0.0335687
1.3360e-02,0.03215
1.3392e-02,0.0317187
1.3424e-02,0.0327156
1.3456e-02,0.0340469
1.3488e-02,0.0334844
1.3520e-02,0.0332937
1.3552e-02,0.0322875
1.3584e-02,0.0324156
1.3616e-02,0.03235
1.3648e-02,0.0325344
1.3680e-02,0.032875
1.3712e-02,0.0333687
1.3744e-02,0.0325937
1.3776e-02,0.0323187
1.3808e-02,0.0328469
1.3840e-02,0.0327219
1.3872e-02,0.0329344
1.3904e-02,0.0343812
1.3936e-02,0.0338437
1.3968e-02,0.0337469
1.4000e-02,0.0330437
1.4032e-02,0.0322219
1.4064e-02,0.0319812
1.4096e-02,0.0319281
1.4128e-02,0.0320875
1.4160e-02,0.0324969
1.4192e-02,0.0324062
1.4224e-02,0.0329281
1.4256e-02,0.0320844
1.4288e-02,0.0317812
1.4320e-02,0.0309469
1.4352e-02,0.0313687
1.4384e-02,0.0312781
1.4416e-02,0.0311812
1.4448e-02,0.0308375
1.4480e-02,0.0321594
1.4512e-02,0.0326
1.4544e-02,0.0320031
1.4576e-02,0.0318781
1.4608e-02,0.0323594
1.4640e-02,0.0324906
1.4672e-02,0.0329156
1.4704e-02,0.0330312
1.4736e-02,0.0337156
1.4768e-02,0.0341125
1.4800e-02,0.034025
1.4832e-02,0.0345719
1.4864e-02,0.0344625
1.4896e-02,0.0338625
1.4928e-02,0.0341844
1.4960e-02,0.0343844
1.4992e-02,0.0342719
1.5024e-02,0.0343094
1.5056e-02,0.0344719
1.5088e-02,0.0361
1.5120e-02,0.0365844
1.5152e-02,0.0363687
1.5184e-02,0.037675
1.5216e-02,0.03785
1.5248e-02,0.0379187
1.5280e-02,0.03865
1.5312e-02,0.0392687
1.5344e-02,0.0378406
1.5376e-02,0.03785
1.5408e-02,0.0381625
1.5440e-02,0.0392687
1.5472e-02,0.0412719
1.5504e-02,0.0413969
1.5536e-02,0.0427469
1.5568e-02,0.0420281
1.5600e-02,0.040475
1.5632e-02,0.0418
1.5664e-02,0.043125
1.5696e-02,0.0438625
1.5728e-02,0.0455031
1.5760e-02,0.0475906
1.5792e-02,0.0486031
1.5824e-02,0.0484094
1.5856e-02,0.0474906
1.5888e-02,0.0478906
1.5920e-02,0.0474687
1.5952e-02,0.0481469
1.5984e-02,0.0502875
1.6016e-02,0.0526937
1.6048e-02,0.0537937
1.6080e-02,0.0533094
1.6112e-02,0.0537781
1.6144e-02,0.0550156
1.6176e-02,0.0551531
1.6208e-02,0.0562
1.6240e-02,0.0582656
1.6272e-02,0.0608625
1.6304e-02,0.0628719
1.6336e-02,0.0638344
1.6368e-02,0.0632312
1.6400e-02,0.0665562
1.6432e-02,0.0690156
1.6464e-02,0.069075
1.6496e-02,0.0679469
1.6528e-02,0.0695812
1.6560e-02,0.0695531
1.6592e-02,0.0682594
1.6624e-02,0.0684156
1.6656e-02,0.0691906
1.6688e-02,0.0700594
1.6720e-02,0.0697437
1.6752e-02,0.0693844
1.6784e-02,0.0697344
1.6816e-02,0.0694375
1.6848e-02,0.0675844
1.6880e-02,0.0662437
1.6912e-02,0.064925
1.6944e-02,0.0647531
1.6976e-02,0.0641062
1.7008e-02,0.0624031
1.7040e-02,0.0607719
1.7072e-02,0.0579406
1.7104e-02,0.0562562
1.7136e-02,0.0559281
1.7168e-02,0.0545125
1.7200e-02,0.0535125
1.7232e-02,0.0531844
1.7264e-02,0.050225
1.7296e-02,0.0473
1.7328e-02,0.0462687
1.7360e-02,0.0445344
1.7392e-02,0.0439219
1.7424e-02,0.0435406
1.7456e-02,0.042475
1.7488e-02,0.0411375
1.7520e-02,0.0404625
1.7552e-02,0.041025
1.7584e-02,0.0392469
1.7616e-02,0.0382406
1.7648e-02,0.0384344
1.7680e-02,0.0382156
1.7712e-02,0.0376562
1.7744e-02,0.0377969
1.7776e-02,0.0364687
1.7808e-02,0.0359344
1.7840e-02,0.0356312
1.7872e-02,0.0356062
1.7904e-02,0.0342031
1.7936e-02,0.0340562
1.7968e-02,0.0339969
1.8000e-02,0.034025
1.8032e-02,0.0338469
1.8064e-02,0.0336
1.8096e-02,0.0329031
1.8128e-02,0.0322875
1.8160e-02,0.0315125
1.8192e-02,0.0306812
1.8224e-02,0.0307937
1.8256e-02,0.0308094
1.8288e-02,0.0302719
1.8320e-02,0.0304906
1.8352e-02,0.0303875
1.8384e-02,0.0299281
1.8416e-02,0.0306437
1.8448e-02,0.0313875
1.8480e-02,0.0318094
1.8512e-02,0.0304594
1.8544e-02,0.030675
1.8576e-02,0.0305375
1.8608e-02,0.0301687
1.8640e-02,0.0290344
1.8672e-02,0.0288125
1.8704e-02,0.0293719
1.8736e-02,0.0290406
1.8768e-02,0.0281125
1.8800e-02,0.0280219
1.8832e-02,0.0281937
1.8864e-02,0.0288094
1.8896e-02,0.0290031
1.8928e-02,0.02865
1.8960e-02,0.0288
1.8992e-02,0.0289531
1.9024e-02,0.0276344
1.9056e-02,0.0271219
1.9088e-02,0.0281187
1.9120e-02,0.0293937
1.9152e-02,0.0307437
1.9184e-02,0.030725
1.9216e-02,0.0300625
1.9248e-02,0.0295219
1.9280e-02,0.0286062
1.9312e-02,0.0289531
1.9344e-02,0.0293125
1.9376e-02,0.0301094
1.9408e-02,0.0300656
1.9440e-02,0.0295969
1.9472e-02,0.029475
1.9504e-02,0.0293781
1.9536e-02,0.0293312
1.9568e-02,0.0306281
1.9600e-02,0.0306094
1.9632e-02,0.0305031
1.9664e-02,0.0288719
1.9696e-02,0.0288094
1.9728e-02,0.0290187
1.9760e-02,0.0288156
1.9792e-02,0.0284531
1.9824e-02,0.0292187
1.9856e-02,0.0286625
1.9888e-02,0.0290437
1.9920e-02,0.0296375
1.9952e-02,0.02975
1.9984e-02,0.0299687
2.0016e-02,0.0303
2.0048e-02,0.0300344
2.0080e-02,0.0302312
2.0112e-02,0.0302156
2.0144e-02,0.03055
2.0176e-02,0.0313406
2.0208e-02,0.0308531
2.0240e-02,0.0314656
2.0272e-02,0.0315312
2.0304e-02,0.0322656
2.0336e-02,0.0326062
2.0368e-02,0.0331562
2.0400e-02,0.0317906
2.0432e-02,0.0302469
2.0464e-02,0.0295094
2.0496e-02,0.0303031
2.0528e-02,0.0306094
2.0560e-02,0.0299719
2.0592e-02,0.029
2.0624e-02,0.0281719
2.0656e-02,0.0296406
2.0688e-02,0.0298031
2.0720e-02,0.0302594
2.0752e-02,0.0299687
2.0784e-02,0.0297062
2.0816e-02,0.0289875
2.0848e-02,0.029775
2.0880e-02,0.0297531
2.0912e-02,0.0302937
2.0944e-02,0.0308094
2.0976e-02,0.0310437
2.1008e-02,0.0301187
2.1040e-02,0.0299719
2.1072e-02,0.0294719
2.1104e-02,0.0299469
2.1136e-02,0.0303969
2.1168e-02,0.0302781
2.1200e-02,0.0300469
2.1232e-02,0.0295719
2.1264e-02,0.0293
2.1296e-02,0.0290344
2.1328e-02,0.0289062
2.1360e-02,0.0288406
2.1392e-02,0.0288531
2.1424e-02,0.0292344
2.1456e-02,0.029825
2.1488e-02,0.0289125
2.1520e-02,0.0283062
2.1552e-02,0.0292437
