Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
1.3200e-02,0.0471484
1.3232e-02,0.0495
1.3264e-02,0.052125
1.3296e-02,0.0543672
1.3328e-02,0.0515469
1.3360e-02,0.053125
1.3392e-02,0.0554141
1.3424e-02,0.0550781
1.3456e-02,0.0549609
1.3488e-02,0.0529062
1.3520e-02,0.0514375
1.3552e-02,0.0514922
1.3584e-02,0.0514453
1.3616e-02,0.0488281
1.3648e-02,0.0497656
1.3680e-02,0.0518594
1.3712e-02,0.0519453
1.3744e-02,0.0495781
1.3776e-02,0.0475625
1.3808e-02,0.0478203
1.3840e-02,0.0460234
1.3872e-02,0.0462031
1.3904e-02,0.0477891
1.3936e-02,0.0452578
1.3968e-02,0.0467656
1.4000e-02,0.0463359
1.4032e-02,0.0462891
1.4064e-02,0.0472109
1.4096e-02,0.0447266
1.4128e-02,0.0432266
1.4160e-02,0.0463047
1.4192e-02,0.0479219
1.4224e-02,0.0472969
1.4256e-02,0.0494219
1.4288e-02,0.0492578
1.4320e-02,0.0487969
1.4352e-02,0.0479297
1.4384e-02,0.0463359
1.4416e-02,0.0447734
1.4448e-02,0.0426719
1.4480e-02,0.0441719
1.4512e-02,0.0445937
1.4544e-02,0.0450078
1.4576e-02,0.0445703
1.4608e-02,0.0438437
1.4640e-02,0.0459687
1.4672e-02,0.0457656
1.4704e-02,0.0467266
1.4736e-02,0.0468437
1.4768e-02,0.0468281
1.4800e-02,0.0470391
1.4832e-02,0.0448516
1.4864e-02,0.0429844
1.4896e-02,0.0426641
1.4928e-02,0.0407109
1.4960e-02,0.0427031
1.4992e-02,0.0451094
1.5024e-02,0.0452812
1.5056e-02,0.0438125
1.5088e-02,0.0450547
1.5120e-02,0.0462812
1.5152e-02,0.0451172
1.5184e-02,0.0442891
1.5216e-02,0.0421797
1.5248e-02,0.0415
1.5280e-02,0.0428047
1.5312e-02,0.0428047
1.5344e-02,0.0433437
1.5376e-02,0.0451875
1.5408e-02,0.0437109
1.5440e-02,0.0426484
1.5472e-02,0.0415859
1.5504e-02,0.0427344
1.5536e-02,0.0417812
1.5568e-02,0.0414766
1.5600e-02,0.0413984
1.5632e-02,0.0407422
1.5664e-02,0.0387187
1.5696e-02,0.0386172
1.5728e-02,0.0393516
1.5760e-02,0.0409922
1.5792e-02,0.0421328
1.5824e-02,0.0419531
1.5856e-02,0.0420547
1.5888e-02,0.0420547
1.5920e-02,0.0432109
1.5952e-02,0.0463516
1.5984e-02,0.0446719
1.6016e-02,0.0430703
1.6048e-02,0.0438828
1.6080e-02,0.0461797
1.6112e-02,0.0455781
1.6144e-02,0.0444453
1.6176e-02,0.0436016
1.6208e-02,0.0421172
1.6240e-02,0.0428125
1.6272e-02,0.0434141
1.6304e-02,0.0428437
1.6336e-02,0.0412734
1.6368e-02,0.0404297
1.6400e-02,0.0400469
1.6432e-02,0.0417578
1.6464e-02,0.0431484
1.6496e-02,0.0430156
1.6528e-02,0.0427266
1.6560e-02,0.0430703
1.6592e-02,0.041625
1.6624e-02,0.0421797
1.6656e-02,0.0439531
1.6688e-02,0.0451406
1.6720e-02,0.0441484
1.6752e-02,0.0439844
1.6784e-02,0.0475234
1.6816e-02,0.0477656
1.6848e-02,0.0474687
1.6880e-02,0.0475859
1.6912e-02,0.0475703
1.6944e-02,0.0451484
1.6976e-02,0.0440781
1.7008e-02,0.0468516
1.7040e-02,0.0469141
1.7072e-02,0.0443047
1.7104e-02,0.0426484
1.7136e-02,0.040375
1.7168e-02,0.0410781
1.7200e-02,0.0410625
1.7232e-02,0.0414844
1.7264e-02,0.0424922
1.7296e-02,0.0439453
1.7328e-02,0.0437891
1.7360e-02,0.0424922
1.7392e-02,0.0430625
1.7424e-02,0.0430391
1.7456e-02,0.0428516
1.7488e-02,0.0439062
1.7520e-02,0.0439062
1.7552e-02,0.0434766
1.7584e-02,0.0414141
1.7616e-02,0.0404141
1.7648e-02,0.0437266
1.7680e-02,0.0472969
1.7712e-02,0.0460469
1.7744e-02,0.0440937
1.7776e-02,0.0413281
1.7808e-02,0.0427109
1.7840e-02,0.0408594
1.7872e-02,0.0426719
1.7904e-02,0.0415625
1.7936e-02,0.0417422
1.7968e-02,0.0391406
1.8000e-02,0.0421797
1.8032e-02,0.0412578
1.8064e-02,0.0429922
1.8096e-02,0.0434531
1.8128e-02,0.0456953
1.8160e-02,0.0451094
1.8192e-02,0.0433594
1.8224e-02,0.0430937
1.8256e-02,0.0424375
1.8288e-02,0.0415937
1.8320e-02,0.0415781
1.8352e-02,0.0425469
1.8384e-02,0.0437031
1.8416e-02,0.04575
1.8448e-02,0.0450937
1.8480e-02,0.0449141
1.8512e-02,0.04375
1.8544e-02,0.0423828
1.8576e-02,0.0454297
1.8608e-02,0.0467578
1.8640e-02,0.0478203
1.8672e-02,0.0472344
1.8704e-02,0.0449297
1.8736e-02,0.0429687
1.8768e-02,0.0419219
1.8800e-02,0.0429531
1.8832e-02,0.0444141
1.8864e-02,0.0438281
1.8896e-02,0.0426953
1.8928e-02,0.0418437
1.8960e-02,0.0414297
1.8992e-02,0.0429844
1.9024e-02,0.0440781
1.9056e-02,0.043875
1.9088e-02,0.0435391
1.9120e-02,0.0415703
1.9152e-02,0.0410156
1.9184e-02,0.0396797
1.9216e-02,0.0387812
1.9248e-02,0.0381641
1.9280e-02,0.0402969
1.9312e-02,0.0418516
1.9344e-02,0.0403828
1.9376e-02,0.0414297
1.9408e-02,0.0464375
1.9440e-02,0.0478594
1.9472e-02,0.0485547
1.9504e-02,0.0463047
1.9536e-02,0.0444375
1.9568e-02,0.0428047
1.9600e-02,0.0452109
1.9632e-02,0.0461641
1.9664e-02,0.0475391
1.9696e-02,0.0481094
1.9728e-02,0.0458047
1.9760e-02,0.0445391
1.9792e-02,0.0463828
1.9824e-02,0.0488203
1.9856e-02,0.0488125
1.9888e-02,0.0471875
1.9920e-02,0.0497969
1.9952e-02,0.0506562
1.9984e-02,0.0529062
2.0016e-02,0.0517187
2.0048e-02,0.0491016
2.0080e-02,0.0490859
2.0112e-02,0.0500312
2.0144e-02,0.0497578
2.0176e-02,0.0500937
2.0208e-02,0.0514922
2.0240e-02,0.0526094
2.0272e-02,0.0571016
2.0304e-02,0.0587187
2.0336e-02,0.0581641
2.0368e-02,0.0584922
2.0400e-02,0.0593984
2.0432e-02,0.0607422
2.0464e-02,0.0603516
2.0496e-02,0.0585859
2.0528e-02,0.0607812
2.0560e-02,0.0631016
2.0592e-02,0.0638594
2.0624e-02,0.0668359
2.0656e-02,0.0690781
2.0688e-02,0.0693672
2.0720e-02,0.0716328
2.0752e-02,0.0710078
2.0784e-02,0.0691797
2.0816e-02,0.0691172
2.0848e-02,0.0714922
2.0880e-02,0.0720859
2.0912e-02,0.0762344
2.0944e-02,0.0777266
2.0976e-02,0.0781719
2.1008e-02,0.0798047
2.1040e-02,0.0861172
2.1072e-02,0.093375
2.1104e-02,0.0950703
2.1136e-02,0.0983281
2.1168e-02,0.101562
2.1200e-02,0.10607
2.1232e-02,0.10825
2.1264e-02,0.116078
2.1296e-02,0.115953
2.1328e-02,0.119766
2.1360e-02,0.123812
2.1392e-02,0.127359
2.1424e-02,0.130609
2.1456e-02,0.130203
2.1488e-02,0.137336
2.1520e-02,0.142508
